,userid,product_category,productName,content,star_rating,review_ranking_score,time
30029,jung******,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있게 잘 먹겠습니다 ^^  포장 깔끔히 잘 왔네요,5,-68.920334,2023-03-21T08:39:17.139+00:00
30030,y8****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송 빠르고 맛있고 든든해요,5,-68.92079,2023-03-29T06:56:59.140+00:00
30031,y8****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송 빠르고 맛있고 든든해요,5,-68.92079,2023-03-29T06:56:37.020+00:00
30032,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92089,2023-03-20T08:41:28.361+00:00
30033,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92089,2023-03-20T08:41:07.849+00:00
30034,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92089,2023-03-20T08:40:41.624+00:00
30035,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92089,2023-03-20T08:40:20.023+00:00
30036,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.9209,2023-03-20T08:39:57.840+00:00
30037,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.9209,2023-03-20T08:39:30.404+00:00
30038,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.9209,2023-03-20T08:39:09.734+00:00
30039,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.920906,2023-03-20T08:38:41.764+00:00
30040,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.920906,2023-03-20T08:38:15.064+00:00
30041,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92091,2023-03-20T08:37:52.164+00:00
30042,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92091,2023-03-20T08:37:24.732+00:00
30043,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92091,2023-03-20T08:36:59.182+00:00
30044,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92091,2023-03-20T08:36:35.312+00:00
30045,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92091,2023-03-20T08:36:07.317+00:00
30046,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92092,2023-03-20T08:35:38.976+00:00
30047,sjyk*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,세번째 시켜먹고있어요! 비린맛도 없어서 좋습니당,5,-68.92092,2023-03-20T08:34:50.322+00:00
30048,go****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,소세지가 그냥 소세지같이 맛있어요.,5,-68.92106,2023-03-30T05:24:47.850+00:00
30049,go****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,소세지 먹고 닭가슴살 소세지인지 모를정도였어요...,5,-68.92116,2023-03-30T05:26:37.821+00:00
30050,n7****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송 빠르고 포장상태 좋고 맛은 그동안 먹어본 제품 중에 아임닭이 제일 잘 맞는것 같아요,5,-68.921165,2023-03-03T13:20:56.676+00:00
30051,goqh***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있어용 닭가슴살은 아임닭만 먹어용ㅎㅎ,5,-68.92128,2023-04-20T01:47:12.936+00:00
30052,zeer****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,포장이너무불편해요ㅇ,3,-68.92158,2023-04-04T23:18:15.110+00:00
30053,y8****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송 빠르고 맛있고 좋습니다,5,-68.92165,2023-03-29T06:58:10.827+00:00
30054,y8****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송 빠르고 맛있고 좋습니다,5,-68.92165,2023-03-29T06:57:30.185+00:00
30055,dlrj****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,아입닭 닭가슴살이 최고에요,5,-68.921684,2023-04-20T09:57:16.456+00:00
30056,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.921814,2023-03-22T10:56:04.415+00:00
30057,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.921814,2023-03-22T10:55:41.886+00:00
30058,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.921814,2023-03-22T10:55:19.108+00:00
30059,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.921814,2023-03-22T10:54:55.267+00:00
30060,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92182,2023-03-22T10:54:29.897+00:00
30061,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92182,2023-03-22T10:54:02.075+00:00
30062,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92182,2023-03-22T10:53:26.088+00:00
30063,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92182,2023-03-22T10:52:55.507+00:00
30064,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92183,2023-03-22T10:52:29.955+00:00
30065,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92183,2023-03-22T10:51:57.964+00:00
30066,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92183,2023-03-22T10:51:33.336+00:00
30067,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92184,2023-03-22T10:50:58.573+00:00
30068,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92184,2023-03-22T10:50:30.138+00:00
30069,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.921844,2023-03-22T10:50:01.883+00:00
30070,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92186,2023-03-22T10:46:31.979+00:00
30071,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92186,2023-03-22T10:46:09.379+00:00
